Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
SRX4619686,PRJNA488315,SatoAth2016_0145ver2,31572432,wild type,LER-1,Leaf,138838,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619690,PRJNA488315,SatoAth2016_0141ver2,31572432,wild type,Ws-2,Leaf,27448,0.79,7/17/2019,104,Leaf,Vegetative,Above
SRX4619701,PRJNA488315,SatoAth2016_0004ver2,31572432,wild type,Est-1,Leaf,3024158,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619712,PRJNA488315,SatoAth2016_0141ver1,31572432,wild type,Ws-2,Leaf,12157,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619720,PRJNA488315,SatoAth2016_0186ver2,31572432,wild type,LER-1,Leaf,1646010,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619723,PRJNA488315,SatoAth2016_0062ver1,31572432,wild type,Kin-0,Leaf,42869,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619724,PRJNA488315,SatoAth2016_0061ver1,31572432,wild type,Est-1,Leaf,1142311,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619729,PRJNA488315,SatoAth2016_0068ver1,31572432,gl1-2*,Col-0,Leaf,561807,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619730,PRJNA488315,SatoAth2016_0067ver1,31572432,wild type,Col-0,Leaf,267493,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619731,PRJNA488315,SatoAth2016_0070ver1,31572432,wild type,Bay-0,Leaf,93021,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619732,PRJNA488315,SatoAth2016_0069ver1,31572432,gl1-1*,Ler,Leaf,402708,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619735,PRJNA488315,SatoAth2016_0095ver1,31572432,wild type,Ws-2,Leaf,439623,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619737,PRJNA488315,SatoAth2016_0097ver1,31572432,gl1-1*,Ler,Leaf,549348,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619739,PRJNA488315,SatoAth2016_0091ver1,31572432,wild type,Est-1,Leaf,580902,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619741,PRJNA488315,SatoAth2016_0093ver1,31572432,wild type,Nd-1,Leaf,580771,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619749,PRJNA488315,SatoAth2016_0035ver2,31572432,wild type,Kin-0,Leaf,2765329,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619750,PRJNA488315,SatoAth2016_0030ver2,31572432,wild type,Ws-2,Leaf,39632,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619760,PRJNA488315,SatoAth2016_0099ver2,31572432,wild type,Ws-2,Leaf,521899,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619769,PRJNA488315,SatoAth2016_0125ver1,31572432,wild type,Tsu-1,Leaf,262190,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619778,PRJNA488315,SatoAth2016_0133ver1,31572432,gl1-1*,Ler,Leaf,445557,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619786,PRJNA488315,SatoAth2016_0137ver2,31572432,gl1-1*,Ler,Leaf,2357966,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619789,PRJNA488315,SatoAth2016_0071ver2,31572432,wild type,LER-1,Leaf,274645,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619795,PRJNA488315,SatoAth2016_0077ver2,31572432,wild type,Sha,Leaf,92949,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619796,PRJNA488315,SatoAth2016_0131ver2,31572432,wild type,C24,Leaf,217417,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619798,PRJNA488315,SatoAth2016_0133ver2,31572432,gl1-1*,Ler,Leaf,1095052,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619807,PRJNA488315,SatoAth2016_0035ver1,31572432,wild type,Kin-0,Leaf,1188956,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619815,PRJNA488315,SatoAth2016_0184ver1,31572432,wild type,Col-0,Leaf,116249,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619816,PRJNA488315,SatoAth2016_0185ver1,31572432,gl1-1*,Ler,Leaf,91811,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619818,PRJNA488315,SatoAth2016_0179ver1,31572432,wild type,Ws-2,Leaf,1630948,0.82,7/17/2019,104,Leaf,Vegetative,Above
SRX4619825,PRJNA488315,SatoAth2016_0015ver2,31572432,wild type,Col-0,Leaf,155212,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619827,PRJNA488315,SatoAth2016_0013ver2,31572432,wild type,Nd-1,Leaf,774247,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619835,PRJNA488315,SatoAth2016_0071ver1,31572432,wild type,LER-1,Leaf,117642,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619847,PRJNA488315,SatoAth2016_0041ver2,31572432,wild type,Tsu-1,Leaf,429040,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619853,PRJNA488315,SatoAth2016_0114ver2,31572432,wild type,Sha,Leaf,969253,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619858,PRJNA488315,SatoAth2016_0185ver2,31572432,gl1-1*,Ler,Leaf,182789,0.8,7/17/2019,104,Leaf,Vegetative,Above
SRX4619868,PRJNA488315,SatoAth2016_0179ver2,31572432,wild type,Ws-2,Leaf,3721342,0.83,7/17/2019,104,Leaf,Vegetative,Above
SRX4619876,PRJNA488315,SatoAth2016_0004ver1,31572432,wild type,Est-1,Leaf,1125699,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619880,PRJNA488315,SatoAth2016_0125ver2,31572432,wild type,Tsu-1,Leaf,673652,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619894,PRJNA488315,SatoAth2016_0086ver2,31572432,wild type,Bay-0,Leaf,231231,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619897,PRJNA488315,SatoAth2016_0081ver2,31572432,gl1-2*,Col-0,Leaf,897432,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619898,PRJNA488315,SatoAth2016_0082ver2,31572432,wild type,Col-0,Leaf,112332,0.81,7/17/2019,104,Leaf,Vegetative,Above
SRX4619899,PRJNA488315,SatoAth2016_0070ver2,31572432,wild type,Bay-0,Leaf,189895,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619900,PRJNA488315,SatoAth2016_0069ver2,31572432,gl1-1*,Ler,Leaf,914908,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619902,PRJNA488315,SatoAth2016_0130ver2,31572432,wild type,Kin-0,Leaf,1425023,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619903,PRJNA488315,SatoAth2016_0170ver1,31572432,wild type,Est-1,Leaf,307761,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619905,PRJNA488315,SatoAth2016_0168ver1,31572432,wild type,Van-0,Leaf,432839,0.76,7/17/2019,104,Leaf,Vegetative,Above
SRX4619908,PRJNA488315,SatoAth2016_0173ver1,31572432,wild type,Nd-1,Leaf,833178,0.79,7/17/2019,104,Leaf,Vegetative,Above
SRX4619914,PRJNA488315,SatoAth2016_0007ver2,31572432,wild type,Ws-2,Leaf,528603,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619923,PRJNA488315,SatoAth2016_0002ver2,31572432,gl1-2*,Col-0,Leaf,532820,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619930,PRJNA488315,SatoAth2016_0114ver1,31572432,wild type,Sha,Leaf,464560,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619933,PRJNA488315,SatoAth2016_0184ver2,31572432,wild type,Col-0,Leaf,201016,0.81,7/17/2019,104,Leaf,Vegetative,Above
SRX4619937,PRJNA488315,SatoAth2016_0055ver2,31572432,wild type,Kin-0,Leaf,48166,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619940,PRJNA488315,SatoAth2016_0052ver2,31572432,wild type,Ws-2,Leaf,1061335,0.81,7/17/2019,104,Leaf,Vegetative,Above
SRX4619941,PRJNA488315,SatoAth2016_0051ver2,31572432,wild type,Se-0,Leaf,621590,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619944,PRJNA488315,SatoAth2016_0161ver2,31572432,wild type,Tsu-1,Leaf,79536,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619951,PRJNA488315,SatoAth2016_0057ver2,31572432,wild type,Col-0,Leaf,856230,0.81,7/17/2019,104,Leaf,Vegetative,Above
SRX4619954,PRJNA488315,SatoAth2016_0174ver2,31572432,gl1-2*,Col-0,Leaf,419019,0.77,7/17/2019,104,Leaf,Vegetative,Above
SRX4619955,PRJNA488315,SatoAth2016_0173ver2,31572432,wild type,Nd-1,Leaf,2173773,0.81,7/17/2019,104,Leaf,Vegetative,Above
SRX4619956,PRJNA488315,SatoAth2016_0168ver2,31572432,wild type,Van-0,Leaf,736081,0.78,7/17/2019,104,Leaf,Vegetative,Above
SRX4619959,PRJNA488315,SatoAth2016_0165ver2,31572432,wild type,Ws-2,Leaf,419039,0.75,7/17/2019,104,Leaf,Vegetative,Above
SRX4619962,PRJNA488315,SatoAth2016_0170ver2,31572432,wild type,Est-1,Leaf,640848,0.79,7/17/2019,104,Leaf,Vegetative,Above
SRX4619963,PRJNA488315,SatoAth2016_0169ver2,31572432,gl1-2*,Col-0,Leaf,217994,0.75,7/17/2019,104,Leaf,Vegetative,Above
GSM3371563,PRJNA488814,WT_24h_1,31325184,wild type,Col-0,seed,16847429,0.95,7/28/2019,,other,other,other
GSM3371564,PRJNA488814,WT_24h_2,31325184,wild type,Col-0,seed,13017546,0.95,7/28/2019,,other,other,other
GSM3371565,PRJNA488814,WT_24h_3,31325184,wild type,Col-0,seed,18118449,0.96,7/28/2019,,other,other,other
GSM3371566,PRJNA488814,WT_dry_1,31325184,wild type,Col-0,seed,14644924,0.93,7/28/2019,,other,other,other
GSM3371567,PRJNA488814,WT_dry_2,31325184,wild type,Col-0,seed,16826833,0.93,7/28/2019,,other,other,other
GSM3371568,PRJNA488814,WT_dry_3,31325184,wild type,Col-0,seed,14081004,0.93,7/28/2019,,other,other,other
GSM3371569,PRJNA488814,mpk8_24h_1,31325184,mpk8 mutant,Col-0,seed,22395685,0.96,7/28/2019,,other,other,other
GSM3371570,PRJNA488814,mpk8_24h_2,31325184,mpk8 mutant,Col-0,seed,19862558,0.95,7/28/2019,,other,other,other
GSM3371571,PRJNA488814,mpk8_24h_3,31325184,mpk8 mutant,Col-0,seed,17962278,0.94,7/28/2019,,other,other,other
GSM3371572,PRJNA488814,mpk8_dry_1,31325184,mpk8 mutant,Col-0,seed,19066740,0.93,7/28/2019,,other,other,other
GSM3371573,PRJNA488814,mpk8_dry_2,31325184,mpk8 mutant,Col-0,seed,20004247,0.93,7/28/2019,,other,other,other
GSM3371574,PRJNA488814,mpk8_dry_3,31325184,mpk8 mutant,Col-0,seed,18271411,0.94,7/28/2019,,other,other,other
GSM3371575,PRJNA488814,tcp14_24h_1,31325184,tcp14 mutant,Col-0,seed,18408982,0.92,7/28/2019,,other,other,other
GSM3371576,PRJNA488814,tcp14_24h_2,31325184,tcp14 mutant,Col-0,seed,17744261,0.95,7/28/2019,,other,other,other
GSM3371577,PRJNA488814,tcp14_24h_3,31325184,tcp14 mutant,Col-0,seed,16682837,0.94,7/28/2019,,other,other,other
GSM3371578,PRJNA488814,tcp14_dry_1,31325184,tcp14 mutant,Col-0,seed,22465726,0.94,7/28/2019,,other,other,other
GSM3371579,PRJNA488814,tcp14_dry_2,31325184,tcp14 mutant,Col-0,seed,14269246,0.93,7/28/2019,,other,other,other
GSM3371580,PRJNA488814,tcp14_dry_3,31325184,tcp14 mutant,Col-0,seed,18551381,0.93,7/28/2019,,other,other,other
SRX4633179,PRJNA488967,wild type,/,wild type,Col-0,leaf,13175164,0.84,10/1/2019,871,Leaf,Vegetative,Above
SRX4633180,PRJNA488967,wild type,/,wild type,Col-0,leaf,13244570,0.83,10/1/2019,871,Leaf,Vegetative,Above
SRX4633181,PRJNA488967,transgenic line,/,Hrip1-OX transgenic line,Col-0,leaf,15194156,0.84,10/1/2019,871,Leaf,Vegetative,Above
SRX4633182,PRJNA488967,transgenic line,/,Hrip1-OX transgenic line,Col-0,leaf,15113614,0.82,10/1/2019,871,Leaf,Vegetative,Above
SRX4663835,PRJNA490038,ECt_3,/,tetraploid*,Col-0,Flower,1455094,0.81,10/1/2019,16,Flower,Reproductive,Above
SRX4663836,PRJNA490038,ECt_4,/,tetraploid*,Col-0,Flower,1717323,0.79,10/1/2019,16,Flower,Reproductive,Above
SRX4663838,PRJNA490038,CCt_6,/,tetraploid*,Col-0,Flower,13178929,0.82,10/1/2019,16,Flower,Reproductive,Above
SRX4663840,PRJNA490038,CCt_8,/,tetraploid*,Col-0,Flower,10493855,0.75,10/1/2019,16,Flower,Reproductive,Above
SRX4663842,PRJNA490038,ECd_4,/,diploid*,Col-0,Flower,1892507,0.78,10/1/2019,16,Flower,Reproductive,Above
SRX4663843,PRJNA490038,ECd_5,/,diploid*,Col-0,Flower,1864493,0.81,10/1/2019,16,Flower,Reproductive,Above
SRX4663849,PRJNA490038,DD_4,/,diploid*,Col-0,Flower,2474085,0.82,10/1/2019,16,Flower,Reproductive,Above
SRX4663855,PRJNA490038,TT_2,/,diploid*,Col-0,Flower,3047534,0.82,10/1/2019,16,Flower,Reproductive,Above
SRX4663859,PRJNA490038,DSC_2,/,diploid*,Col-0,Flower,883390,0.75,10/1/2019,16,Flower,Reproductive,Above
SRX4663862,PRJNA490038,CCt_3,/,tetraploid*,Col-0,Flower,6329087,0.84,10/1/2019,16,Flower,Reproductive,Above
SRX4663864,PRJNA490038,CCt_1,/,tetraploid*,Col-0,Flower,12368626,0.83,10/1/2019,16,Flower,Reproductive,Above
SRX4663866,PRJNA490038,CCt_5,/,tetraploid*,Col-0,Flower,9543286,0.82,10/1/2019,16,Flower,Reproductive,Above
SRX4663870,PRJNA490038,CCd_7,/,diploid*,Col-0,Flower,9724056,0.75,10/1/2019,16,Flower,Reproductive,Above
SRX4663873,PRJNA490038,CCd_2,/,diploid*,Col-0,Flower,15913151,0.84,10/1/2019,16,Flower,Reproductive,Above
SRX4663874,PRJNA490038,CCd_3,/,diploid*,Col-0,Flower,6542730,0.75,10/1/2019,16,Flower,Reproductive,Above
SRX4663875,PRJNA490038,CCd_4,/,diploid*,Col-0,Flower,11554249,0.8,10/1/2019,16,Flower,Reproductive,Above
SRX4668097,PRJNA490078,jmj17_Normal,31038749,jmj17,Col-0,seedling,17963911,0.8,4/20/2019,,other,other,other
SRX4668098,PRJNA490078,jmj17_Normal,31038749,jmj17,Col-0,seedling,18687352,0.81,4/20/2019,,other,other,other
SRX4668099,PRJNA490078,WT-Normal-1,31038749,wild type,Col-0,seedling,16337519,0.93,4/20/2019,,other,other,other
SRX4668100,PRJNA490078,WT-Normal-1,31038749,wild type,Col-0,seedling,19182404,0.93,4/20/2019,,other,other,other
SRX4668101,PRJNA490078,jmj17-Drought,31038749,jmj17,Col-0,seedling,20492648,0.89,4/20/2019,,other,other,other
SRX4668102,PRJNA490078,jmj17-Drought,31038749,jmj17,Col-0,seedling,23303205,0.89,4/20/2019,,other,other,other
SRX4668103,PRJNA490078,WT-Drought,31038749,wild type,Col-0,seedling,18455730,0.89,4/20/2019,,other,other,other
SRX4668104,PRJNA490078,WT-Drought,31038749,wild type,Col-0,seedling,17912743,0.88,4/20/2019,,other,other,other
GSM3381071,PRJNA490087,ATH599 dataset 2,31428786,wild type,Col-0,seedlings,27258425,0.92,8/13/2019,,other,other,other
GSM3381072,PRJNA490087,ATH600 dataset 2,31428786,xrn4-5,Col-0,seedlings,24343237,0.92,8/13/2019,,other,other,other
GSM3381073,PRJNA490087,ATH601 dataset 2,31428786,xrn4-6,Col-0,seedlings,30919076,0.92,8/13/2019,,other,other,other
GSM3381074,PRJNA490087,ATH589 dataset 2,31428786,wild type,Col-0,seedlings,32075380,0.85,8/13/2019,,other,other,other
GSM3381075,PRJNA490087,ATH590 dataset 2,31428786,xrn4-5,Col-0,seedlings,33898451,0.85,8/13/2019,,other,other,other
GSM3381076,PRJNA490087,ATH591 dataset 2,31428786,xrn4-6,Col-0,seedlings,28442516,0.85,8/13/2019,,other,other,other
GSM3381077,PRJNA490087,ATH676 dataset 2,31428786,wild type,Col-0,seedlings,24800861,0.89,8/13/2019,,other,other,other
GSM3381078,PRJNA490087,ATH677 dataset 2,31428786,xrn4-5,Col-0,seedlings,26853549,0.89,8/13/2019,,other,other,other
GSM3381079,PRJNA490087,ATH678 dataset 2,31428786,xrn4-6,Col-0,seedlings,24177493,0.89,8/13/2019,,other,other,other
GSM3381080,PRJNA490087,ATH566 dataset 2,31428786,wild type,Col-0,seedlings,36097563,0.8,8/13/2019,,other,other,other
GSM3381081,PRJNA490087,ATH567 dataset 2,31428786,xrn4-5,Col-0,seedlings,37834880,0.81,8/13/2019,,other,other,other
GSM3381082,PRJNA490087,ATH568 dataset 2,31428786,xrn4-6,Col-0,seedlings,27075111,0.85,8/13/2019,,other,other,other
GSM3391608,PRJNA491272,Col0_1,31216485,wild type,Col-0,whole plant,15629078,0.93,5/24/2019,,other,other,other
GSM3391609,PRJNA491272,Col0_2,31216485,wild type,Col-0,whole plant,13333931,0.94,5/24/2019,,other,other,other
GSM3391610,PRJNA491272,Col0_3,31216485,wild type,Col-0,whole plant,17102393,0.94,5/24/2019,,other,other,other
GSM3391611,PRJNA491272,lst8-1_1,31216485,lst8 mutant,Col-0,whole plant,16301180,0.94,5/24/2019,,other,other,other
GSM3391612,PRJNA491272,lst8-1_2,31216485,lst8 mutant,Col-0,whole plant,17902305,0.93,5/24/2019,,other,other,other
GSM3391613,PRJNA491272,lst8-1_3,31216485,lst8 mutant,Col-0,whole plant,13580295,0.93,5/24/2019,,other,other,other
GSM3391614,PRJNA491272,maktor1g1_1,31216485,maktor mutant,Col-0,whole plant,16059831,0.94,5/24/2019,,other,other,other
GSM3391615,PRJNA491272,maktor1g1_2,31216485,maktor mutant,Col-0,whole plant,15977557,0.94,5/24/2019,,other,other,other
GSM3391616,PRJNA491272,maktor1g1_3,31216485,maktor mutant,Col-0,whole plant,16198460,0.94,5/24/2019,,other,other,other
GSM3391617,PRJNA491272,maktor1g1maktor5g_1,31216485,maktor mutant,Col-0,whole plant,16216875,0.94,5/24/2019,,other,other,other
GSM3391618,PRJNA491272,maktor1g1maktor5g_2,31216485,maktor mutant,Col-0,whole plant,18234634,0.94,5/24/2019,,other,other,other
GSM3391619,PRJNA491272,maktor1g1maktor5g_3,31216485,maktor mutant,Col-0,whole plant,14675270,0.94,5/24/2019,,other,other,other
GSM3391620,PRJNA491272,yak1_1,31216485,yak1 mutant,Col-0,whole plant,14789343,0.94,5/24/2019,,other,other,other
GSM3391621,PRJNA491272,yak1_2,31216485,yak1 mutant,Col-0,whole plant,12895460,0.93,5/24/2019,,other,other,other
GSM3391622,PRJNA491272,yak1_3,31216485,yak1 mutant,Col-0,whole plant,16462479,0.93,5/24/2019,,other,other,other
GSM3391623,PRJNA491272,yak1lst8-1_1,31216485,yak1 lst8 mutant,Col-0,whole plant,17882608,0.94,5/24/2019,,other,other,other
GSM3391624,PRJNA491272,yak1lst8-1_2,31216485,yak1 lst8 mutant,Col-0,whole plant,11234213,0.94,5/24/2019,,other,other,other
GSM3391625,PRJNA491272,yak1lst8-1_3,31216485,yak1 lst8 mutant,Col-0,whole plant,15385820,0.93,5/24/2019,,other,other,other
SRX4734051,PRJNA492822,NTR1_rep2,31216029,ntr1-1*,Col-0,seeding,16049626,0.95,9/1/2019,,other,other,other
SRX4734052,PRJNA492822,NTR1_rep1,31216029,ntr1-1*,Col-0,seeding,15741254,0.96,9/1/2019,,other,other,other
SRX4734053,PRJNA492822,ILP1_rep2,31216029,ilp1-1*,Col-0,seeding,18543428,0.96,9/1/2019,,other,other,other
SRX4734054,PRJNA492822,ILP1_rep1,31216029,ilp1-1*,Col-0,seeding,18532962,0.95,9/1/2019,,other,other,other
SRX4734055,PRJNA492822,Col-0_rep2,31216029,wild type,Col-0,seeding,20157345,0.94,9/1/2019,,other,other,other
SRX4734056,PRJNA492822,Col-0_rep1,31216029,wild type,Col-0,seeding,18660741,0.91,9/1/2019,,other,other,other
GSM3402476,PRJNA493255,WT pollen RNA-seq rep1,31135340,wild type,Col-0,pollen,65757351,0.79,5/29/2019,,other,other,other
GSM3402477,PRJNA493255,WT pollen RNA-seq rep2,31135340,wild type,Col-0,pollen,32958985,0.79,5/29/2019,,other,other,other
GSM3402478,PRJNA493255,WT pollen RNA-seq rep3,31135340,wild type,Col-0,pollen,105144479,0.78,5/29/2019,,other,other,other
GSM3402479,PRJNA493255,pVC::H1 pollen RNA-seq rep1,31135340,pVC::H1.1-mRFP,Col-0,pollen,58146800,0.79,5/29/2019,,other,other,other
GSM3402480,PRJNA493255,pVC::H1 pollen RNA-seq rep2,31135340,pVC::H1.1-mRFP,Col-0,pollen,78155482,0.79,5/29/2019,,other,other,other
GSM3402481,PRJNA493255,pVC::H1 pollen RNA-seq rep3,31135340,pVC::H1.1-mRFP,Col-0,pollen,47419144,0.78,5/29/2019,,other,other,other
GSM3402482,PRJNA493255,WT pollen RNA-seq rep4,31135340,wild type,Col-0,pollen,45853293,0.81,5/29/2019,,other,other,other
GSM3402483,PRJNA493255,WT pollen RNA-seq rep5,31135340,wild type,Col-0,pollen,49250558,0.76,5/29/2019,,other,other,other
GSM3574401,PRJNA493255,dme-7/+ pollen RNA-seq rep1,31135340,dme-7/+,/,pollen,41641583,0.79,5/29/2019,,other,other,other
SRX4778918,PRJNA493902,A2-2,31087367,/,Col-0,Leaves,25902956,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778919,PRJNA493902,A2-1,31087367,/,Col-0,Leaves,28838859,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778920,PRJNA493902,A3-2,31087367,/,Col-0,Leaves,23299125,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778921,PRJNA493902,A3-1,31087367,/,Col-0,Leaves,22977185,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778922,PRJNA493902,A4-2,31087367,/,Col-0,Leaves,24328198,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778923,PRJNA493902,A4-1,31087367,/,Col-0,Leaves,21427668,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778924,PRJNA493902,A5-2,31087367,/,Col-0,Leaves,25704538,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778925,PRJNA493902,A5-1,31087367,/,Col-0,Leaves,22215768,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778926,PRJNA493902,B1-2,31087367,/,Col-0,Leaves,28139165,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778927,PRJNA493902,B1-1,31087367,/,Col-0,Leaves,24986066,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778928,PRJNA493902,B2-2,31087367,/,Col-0,Leaves,21099431,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778929,PRJNA493902,B2-1,31087367,/,Col-0,Leaves,24918519,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778930,PRJNA493902,B3-2,31087367,/,Col-0,Leaves,23042809,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778931,PRJNA493902,B3-1,31087367,/,Col-0,Leaves,21163641,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778932,PRJNA493902,B4-2,31087367,/,Col-0,Leaves,25745265,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778933,PRJNA493902,B4-1,31087367,/,Col-0,Leaves,22847229,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778934,PRJNA493902,B5-2,31087367,/,Col-0,Leaves,26889351,0.91,10/1/2019,39,Leaf,Vegetative,Above
SRX4778935,PRJNA493902,B5-1,31087367,/,Col-0,Leaves,28733332,0.91,10/1/2019,39,Leaf,Vegetative,Above
GSM3408062,PRJNA494061,WT_rep1,30710050,wild type,Col-0,10-days Seedlings,13012117,0.92,4/18/2019,,other,other,other
GSM3408063,PRJNA494061,WT_rep2,30710050,wild type,Col-0,10-days Seedlings,13025117,0.92,4/18/2019,,other,other,other
GSM3408064,PRJNA494061,WT_rep3,30710050,wild type,Col-0,10-days Seedlings,13025836,0.89,4/18/2019,,other,other,other
GSM3408065,PRJNA494061,17ab_rep1,30710050,mutant 17ab,Col-0,10-days Seedlings,13015082,0.93,4/18/2019,,other,other,other
GSM3408066,PRJNA494061,17ab_rep2,30710050,mutant 17ab,Col-0,10-days Seedlings,13025199,0.93,4/18/2019,,other,other,other
GSM3408067,PRJNA494061,17ab_rep3,30710050,mutant 17ab,Col-0,10-days Seedlings,13034025,0.92,4/18/2019,,other,other,other
GSM3414839,PRJNA494398,wt Col-0 rep 1,32220315,wild type,Col-0,2weeks seedlings,25486480,0.92,1/2/2020,,other,other,other
GSM3414840,PRJNA494398,wt Col-0 rep 2,32220315,wild type,Col-0,2weeks seedlings,22371581,0.92,1/2/2020,,other,other,other
GSM3414841,PRJNA494398,wt Col-0 rep 3,32220315,wild type,Col-0,2weeks seedlings,18742495,0.92,1/2/2020,,other,other,other
GSM3414842,PRJNA494398,wt Col-0 rep 4,32220315,wild type,Col-0,2weeks seedlings,22349418,0.92,1/2/2020,,other,other,other
GSM3414843,PRJNA494398,eds4 mutant rep 1,32220315,eds4 -/-,Col-0,2weeks seedlings,22647547,0.92,1/2/2020,,other,other,other
GSM3414844,PRJNA494398,eds4 mutant rep 2,32220315,eds4 -/-,Col-0,2weeks seedlings,22873406,0.92,1/2/2020,,other,other,other
GSM3414845,PRJNA494398,eds4 mutant rep 3,32220315,eds4 -/-,Col-0,2weeks seedlings,19677457,0.93,1/2/2020,,other,other,other
GSM3414846,PRJNA494398,wt total rep 1,32220315,wild type,Col-0,2weeks seedlings,16737451,0.9,1/2/2020,,other,other,other
GSM3414847,PRJNA494398,wt total rep 2,32220315,wild type,Col-0,2weeks seedlings,16305274,0.9,1/2/2020,,other,other,other
GSM3414848,PRJNA494398,eds4 total rep 1,32220315,eds4 -/-,Col-0,2weeks seedlings,16668450,0.9,1/2/2020,,other,other,other
GSM3414849,PRJNA494398,eds4 total rep 2,32220315,eds4 -/-,Col-0,2weeks seedlings,11834591,0.9,1/2/2020,,other,other,other
GSM3414852,PRJNA494398,eds4 nuclear rep 1,32220315,eds4 -/-,Col-0,2weeks seedlings,12618979,0.82,1/2/2020,,other,other,other
GSM3415630,PRJNA494541,Wildtype a,30989238,wild type,Col-0,14 day-old seedling,27617411,0.77,10/29/2019,,other,other,other
GSM3415631,PRJNA494541,Wildtype b,30989238,wild type,Col-0,14 day-old seedling,128879176,0.88,10/29/2019,,other,other,other
GSM3415632,PRJNA494541,SRDX2a,30989238,pUBI10::GFP:IDD4:SRDX,Col-0,14 day-old seedling,34952185,0.85,10/29/2019,,other,other,other
GSM3415633,PRJNA494541,SRDX2b,30989238,pUBI10::GFP:IDD4:SRDX,Col-0,14 day-old seedling,57558642,0.82,10/29/2019,,other,other,other
GSM3415634,PRJNA494541,SRDX9a,30989238,pUBI10::GFP:IDD4:SRDX,Col-0,14 day-old seedling,20222444,0.88,10/29/2019,,other,other,other
